X_INDEX;Y_INDEX;GRID005ID;AOI;X_MIN;X_CENTER;X_MAX;Y_MIN;Y_CENTER;Y_MAX;SHAPE_AREA;SHAPE_LENG;INDEX_LABE;PRE_1980;POST_1980;LOW_RISE;MID_RISE;HIGH_RISE;MODERATE;M5;M2_ADOBE;STONE;ALL_YEAR;TYPE;RISE;TOTAL;RC_L;M1_L;M2_L;M5_L;RC_M;M1_M;M2_M;M5_M;RC_H;M1_H;M2_H;M5_H;TOTAL_BLD;POPULATION
552;830;5520830;1;27.600000;27.625000;27.650000;41.500000;41.525000;41.550000;0.002500;0.200000;0;13.175397;14.999525;27.985677;0.189245;0.000000;15.924977;11.006195;0.939784;0.301873;28.174922;56.045878000000000;28.174922;28.174922;15.818012;0.299845;0.933472;10.932269;0.106965;0.002028;0.006312;0.073926;0.000000;0.000000;0.000000;0.000000;28.172829;190
553;830;5530830;1;27.650000;27.675000;27.700000;41.500000;41.525000;41.550000;0.002500;0.200000;0;14.015030;14.757358;28.772388;0.000000;0.000000;20.526222;6.832862;1.276061;0.134366;28.772388;57.407533000000000;28.772388;28.772388;20.526222;0.134366;1.276061;6.832862;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;28.769511;191
554;830;5540830;1;27.700000;27.725000;27.750000;41.500000;41.525000;41.550000;0.002500;0.200000;0;175.519650;184.816318;360.335967;0.000000;0.000000;257.063679;85.572532;15.980973;1.682749;360.335967;718.953152000000000;360.335967;360.335967;257.063679;1.682749;15.980973;85.572532;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;360.299933;2392
555;830;5550830;1;27.750000;27.775000;27.800000;41.500000;41.525000;41.550000;0.002500;0.200000;0;220.133412;231.793117;451.926529;0.000000;0.000000;322.404386;107.323445;20.043033;2.110472;451.926529;901.697393000000000;451.926529;451.926529;322.404386;2.110472;20.043033;107.323445;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;451.881336;3000
556;830;5560830;1;27.800000;27.825000;27.850000;41.500000;41.525000;41.550000;0.002500;0.200000;0;23.627624;24.879098;48.506722;0.000000;0.000000;34.604696;11.519369;2.151283;0.226524;48.506722;96.782070000000000;48.506722;48.506722;34.604696;0.226524;2.151283;11.519369;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;48.501872;322
557;830;5570830;1;27.850000;27.875000;27.900000;41.500000;41.525000;41.550000;0.002500;0.200000;0;148.296555;156.151310;304.447865;0.000000;0.000000;217.193107;72.300234;13.502324;1.421755;304.447865;607.443531000000000;304.447865;304.447865;217.193107;1.421755;13.502324;72.300234;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;304.417420;2021
558;830;5580830;1;27.900000;27.925000;27.950000;41.500000;41.525000;41.550000;0.002500;0.200000;0;15.791545;23.709223;38.279781;1.195473;0.025513;24.056041;12.088632;3.003135;0.351061;39.500767;78.648576000000000;39.500767;39.500767;23.312458;0.340209;2.910307;11.714967;0.728045;0.010625;0.090889;0.365857;0.015538;0.000227;0.001940;0.007808;39.498870;327
559;830;5590830;1;27.950000;27.975000;28.000000;41.500000;41.525000;41.550000;0.002500;0.200000;0;14.101445;30.102973;41.574137;2.575320;0.054961;22.651819;16.331294;4.655989;0.565314;44.204417;87.843521000000000;44.204417;44.204417;21.303976;0.531676;4.378945;15.359539;1.319680;0.032935;0.271255;0.951450;0.028164;0.000703;0.005789;0.020305;44.204417;433
560;830;5600830;1;28.000000;28.025000;28.050000;41.500000;41.525000;41.550000;0.002500;0.200000;0;2.833403;6.048590;8.353490;0.517459;0.011043;4.551429;3.281447;0.935528;0.113588;8.881993;17.650397000000000;8.881993;8.881993;4.280607;0.106830;0.879861;3.086192;0.265163;0.006618;0.054503;0.191175;0.005659;0.000141;0.001163;0.004080;8.881992;87
561;830;5610830;1;28.050000;28.075000;28.100000;41.500000;41.525000;41.550000;0.002500;0.200000;0;0.899319;1.890207;2.677237;0.110025;0.002158;1.553189;1.011111;0.185111;0.040020;2.789526;5.538936000000000;2.789421;2.789421;1.490724;0.038410;0.177666;0.970446;0.061264;0.001579;0.007301;0.039882;0.001202;0.000031;0.000143;0.000782;2.789430;31
562;830;5620830;1;28.100000;28.125000;28.150000;41.500000;41.525000;41.550000;0.002500;0.200000;0;6.378187;13.133610;19.225260;0.281901;0.002919;12.013739;6.891407;0.284791;0.320300;19.511797;38.701733000000000;19.510080;19.510080;11.838355;0.315624;0.280633;6.790802;0.173586;0.004628;0.004115;0.099574;0.001798;0.000048;0.000043;0.001031;19.510237;251
563;830;5630830;1;28.150000;28.175000;28.200000;41.500000;41.525000;41.550000;0.002500;0.200000;0;35.922757;73.608795;108.594599;0.926000;0.000000;68.988021;38.442042;0.239148;1.852384;109.531552;217.200763000000000;109.520600;109.520600;68.404724;1.836722;0.237126;38.117013;0.583296;0.015662;0.002022;0.325029;0.000000;0.000000;0.000000;0.000000;109.521594;1455
